protein1,protein2,tm_score,sequence_divergence,patristic_distance,protein1_cluster,protein2_cluster,cluster_key
P005070006662_Drosophila_bunnanda_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,0.99201,0.1159999999999999,0.132101654,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,0.87943,0.691358024691358,2.391492338,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005084006084_Drosophila_miranda_part1_of1,0.88772,0.7119341563786008,2.251524882,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005084006085_Drosophila_miranda_part1_of1,0.92165,0.124,0.157171276,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,0.90523,0.1967871485943775,0.311640263,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,0.84886,0.6540084388185654,1.932677815,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005086002813_Drosophila_navojoa_part1_of1,0.9052,0.1967871485943775,0.296735474,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005086003013_Drosophila_navojoa_part1_of1,0.89049,0.6487603305785123,1.895414417,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005087007713_Drosophila_novamexicana_part1_of1,0.88414,0.6570247933884297,2.002607368,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005087007760_Drosophila_novamexicana_part1_of1,0.9518,0.1726907630522088,0.255059296,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005087007761_Drosophila_novamexicana_part1_of1,0.88368,0.6487603305785123,1.891096549,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005088004783_Drosophila_obscura_part1_of1,0.89414,0.6995884773662551,2.299675673,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005088004859_Drosophila_obscura_part1_of1,0.8643,0.6788617886178862,1.922552264,Cluster_2,Cluster_3,Cluster_2_Cluster_3
P005070006662_Drosophila_bunnanda_part1_of1,P005088004876_Drosophila_obscura_part1_of1,0.91134,0.148,0.1842787149999999,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005089006354_Drosophila_persimilis_part1_of1,0.89133,0.7119341563786008,2.247571895,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005089006356_Drosophila_persimilis_part1_of1,0.9251,0.124,0.157171276,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005091006300_Drosophila_rhopaloa_part1_of1,0.94844,0.0879999999999999,0.152517575,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005092009946_Drosophila_santomea_part1_of1,0.98913,0.1159999999999999,0.155669545,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005092009948_Drosophila_santomea_part1_of1,0.86973,0.691358024691358,2.40157955,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005093013422_Drosophila_sechellia_part1_of1,0.93071,0.1119999999999999,0.132131318,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005093013423_Drosophila_sechellia_part1_of1,0.87995,0.691358024691358,2.387600969,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005095004731_Drosophila_setifemur_part1_of1,0.92019,0.124,0.152175324,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005095011902_Drosophila_setifemur_part1_of1,0.83245,0.6972477064220184,2.492352892,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005095011903_Drosophila_setifemur_part1_of1,0.87131,0.7083333333333333,2.512015618,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005097008429_Drosophila_subobscura_part1_of2,0.8877,0.7078189300411523,2.272456913,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005097008429_Drosophila_subobscura_part2_of2,0.87889,0.6788617886178862,1.892762366,Cluster_2,Cluster_3,Cluster_2_Cluster_3
P005070006662_Drosophila_bunnanda_part1_of1,P005097009271_Drosophila_subobscura_part1_of1,0.92069,0.132,0.170130278,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005098006594_Drosophila_subpulchrella_part1_of2,0.95004,0.0719999999999999,0.147888235,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005098006594_Drosophila_subpulchrella_part2_of2,0.88059,0.6872427983539094,2.384468413,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005099002466_Drosophila_suzukii_part1_of1,0.87716,0.6954732510288066,2.391776765,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005099007453_Drosophila_suzukii_part1_of1,0.9188,0.0799999999999999,0.168198013,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005100011380_Drosophila_takahashii_part1_of2,0.90886,0.0999999999999999,0.159642405,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005100011380_Drosophila_takahashii_part2_of2,0.88922,0.6872427983539094,2.389622701,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005101009090_Drosophila_teissieri_part1_of1,0.98585,0.1159999999999999,0.143948503,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005101009092_Drosophila_teissieri_part1_of1,0.87344,0.6790123456790124,2.389740248,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005102009205_Drosophila_virilis_part1_of1,0.95054,0.1726907630522088,0.255059296,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005102009206_Drosophila_virilis_part1_of1,0.88748,0.6570247933884297,1.917832507,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005103011421_Drosophila_willistoni_part1_of1,0.89758,0.680327868852459,2.113243112,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,P005103011422_Drosophila_willistoni_part1_of1,0.95989,0.136,0.171920376,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005070006662_Drosophila_bunnanda_part1_of1,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.88353,0.691358024691358,2.391492338,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,B4KE22_Drosophila_mojavensisREF_part1_of1,0.90396,0.7288888888888889,2.4071357730000003,Cluster_2,Cluster_4,Cluster_2_Cluster_4
P005071004180_Drosophila_busckii_part1_of1,P005064008787_Drosophila_albomicans_part1_of2,0.93308,0.6666666666666667,1.955984539,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005064008787_Drosophila_albomicans_part2_of2,0.93055,0.7098214285714286,2.159983452,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005064013138_Drosophila_albomicans_part1_of1,0.99366,0.0973451327433628,0.1199024609999999,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005065001328_Drosophila_ananassae_part1_of2,0.93774,0.6844444444444444,2.418671733,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005065001328_Drosophila_ananassae_part2_of2,0.93651,0.6933333333333334,2.05517154,Cluster_2,Cluster_3,Cluster_2_Cluster_3
P005071004180_Drosophila_busckii_part1_of1,P005065003751_Drosophila_ananassae_part1_of1,0.98896,0.1371681415929203,0.260030069,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005066011807_Drosophila_arizonae_part1_of2,0.98017,0.1017699115044248,0.190577286,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005066011807_Drosophila_arizonae_part2_of2,0.86379,0.6459330143540669,1.946774727,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005067004171_Drosophila_biarmipes_part1_of1,0.98039,0.1238938053097344,0.284146014,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005067004172_Drosophila_biarmipes_part1_of1,0.92124,0.7066666666666667,2.5183966570000003,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005068011778_Drosophila_bipectinata_part1_of2,0.99332,0.1327433628318584,0.252687219,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005068011778_Drosophila_bipectinata_part2_of2,0.9406,0.6977777777777778,2.453400647,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005070006661_Drosophila_bunnanda_part1_of1,0.9292,0.6830357142857143,2.606076432,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005070006662_Drosophila_bunnanda_part1_of1,0.98019,0.1460176991150442,0.192925559,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005071007432_Drosophila_busckii_part1_of1,0.92389,0.6933333333333334,2.038388045,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005072008715_Drosophila_elegans_part1_of1,0.98134,0.1504424778761062,0.263398519,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005072008716_Drosophila_elegans_part1_of1,0.92968,0.6888888888888889,2.4523546460000003,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005073012561_Drosophila_erecta_part1_of1,0.925,0.6977777777777778,2.470443476,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005074010565_Drosophila_eugracilis_part1_of1,0.93251,0.6977777777777778,2.490724214,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005074010571_Drosophila_eugracilis_part1_of1,0.97754,0.1327433628318584,0.237369567,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005075007245_Drosophila_ficusphila_part1_of1,0.993,0.168141592920354,0.28934465,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005076010725_Drosophila_grimshawi_part1_of1,0.85085,0.7069767441860465,2.2769354400000004,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005076010744_Drosophila_grimshawi_part1_of1,0.99525,0.1283185840707964,0.190149975,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005076010745_Drosophila_grimshawi_part1_of1,0.92823,0.6830357142857143,2.068838413,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005077009626_Drosophila_guanche_part1_of1,0.93158,0.72,2.3785664050000004,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005077011090_Drosophila_guanche_part1_of1,0.92418,0.72,2.3785664050000004,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005077011621_Drosophila_guanche_part1_of1,0.99191,0.1592920353982301,0.251193671,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005078005510_Drosophila_hydei_part1_of1,0.93386,0.6741071428571428,2.025515212,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005078006118_Drosophila_hydei_part1_of1,0.97812,0.084070796460177,0.160281875,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005079010340_Drosophila_innubila_part1_of1,0.91763,0.6919642857142857,2.24355948,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005079011844_Drosophila_innubila_part1_of2,0.97965,0.084070796460177,0.1168042669999999,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005079011844_Drosophila_innubila_part2_of2,0.90355,0.6696428571428572,1.945854733,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005080010494_Drosophila_ironensis_part1_of1,0.97525,0.1460176991150442,0.266455202,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005080010499_Drosophila_ironensis_part1_of1,0.93749,0.7288888888888889,2.526979831,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005080012110_Drosophila_ironensis_part1_of1,0.93714,0.7008928571428572,2.60833355,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005081003743_Drosophila_kikkawai_part1_of3,0.96626,0.1415929203539823,0.195583245,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005081003743_Drosophila_kikkawai_part2_of3,0.83446,0.7087378640776699,2.7003080830000004,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005081003743_Drosophila_kikkawai_part3_of3,0.92568,0.6964285714285714,2.574018017,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005081004694_Drosophila_kikkawai_part1_of1,0.93608,0.7098214285714286,2.675204366,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005082012188_Drosophila_mauritiana_part1_of1,0.98206,0.1283185840707964,0.253944942,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005082012529_Drosophila_mauritiana_part1_of1,0.92865,0.6977777777777778,2.4563428230000004,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005083008909_Drosophila_melanogaster_part1_of1,0.98077,0.1238938053097344,0.257820085,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005083008910_Drosophila_melanogaster_part1_of1,0.92855,0.6933333333333334,2.454369115,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005084006084_Drosophila_miranda_part1_of1,0.93211,0.7288888888888889,2.314401659,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005084006085_Drosophila_miranda_part1_of1,0.97976,0.168141592920354,0.220048053,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005085005288_Drosophila_mojavensis_part1_of1,0.99062,0.1150442477876105,0.196425528,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005085005289_Drosophila_mojavensis_part1_of1,0.88561,0.6621004566210046,1.995554592,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005086002813_Drosophila_navojoa_part1_of1,0.99487,0.1061946902654867,0.181520739,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005086003013_Drosophila_navojoa_part1_of1,0.93462,0.6473214285714286,1.958291194,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005087007713_Drosophila_novamexicana_part1_of1,0.92944,0.6785714285714286,2.065484145,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005087007760_Drosophila_novamexicana_part1_of1,0.97881,0.079646017699115,0.139844561,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005087007761_Drosophila_novamexicana_part1_of1,0.92798,0.6607142857142857,1.953973326,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005088004783_Drosophila_obscura_part1_of1,0.93588,0.7022222222222223,2.3625524500000004,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005088004859_Drosophila_obscura_part1_of1,0.9191,0.6830357142857143,1.985429041,Cluster_2,Cluster_3,Cluster_2_Cluster_3
P005071004180_Drosophila_busckii_part1_of1,P005088004876_Drosophila_obscura_part1_of1,0.9776,0.1725663716814159,0.247155492,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005089006354_Drosophila_persimilis_part1_of1,0.93134,0.7288888888888889,2.310448672,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005089006356_Drosophila_persimilis_part1_of1,0.97858,0.168141592920354,0.220048053,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005091006300_Drosophila_rhopaloa_part1_of1,0.99394,0.1504424778761062,0.278236006,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005092009946_Drosophila_santomea_part1_of1,0.98087,0.1415929203539823,0.281387976,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005092009948_Drosophila_santomea_part1_of1,0.9186,0.7022222222222223,2.464456327,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005093013422_Drosophila_sechellia_part1_of1,0.9917,0.1327433628318584,0.257849749,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005093013423_Drosophila_sechellia_part1_of1,0.92541,0.6933333333333334,2.450477746,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005095004731_Drosophila_setifemur_part1_of1,0.98057,0.163716814159292,0.277893755,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005095011902_Drosophila_setifemur_part1_of1,0.89013,0.7064220183486238,2.555229669,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005095011903_Drosophila_setifemur_part1_of1,0.93124,0.7053571428571428,2.574892395,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005097008429_Drosophila_subobscura_part1_of2,0.93126,0.7288888888888889,2.33533369,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005097008429_Drosophila_subobscura_part2_of2,0.91849,0.6875,1.955639143,Cluster_2,Cluster_3,Cluster_2_Cluster_3
P005071004180_Drosophila_busckii_part1_of1,P005097009271_Drosophila_subobscura_part1_of1,0.9785,0.168141592920354,0.233007055,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005098006594_Drosophila_subpulchrella_part1_of2,0.98246,0.1548672566371681,0.273606666,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005098006594_Drosophila_subpulchrella_part2_of2,0.92512,0.7022222222222223,2.44734519,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005099002466_Drosophila_suzukii_part1_of1,0.92606,0.7022222222222223,2.4546535420000004,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005099007453_Drosophila_suzukii_part1_of1,0.9789,0.1592920353982301,0.293916444,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005100011380_Drosophila_takahashii_part1_of2,0.96381,0.1592920353982301,0.285360836,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005100011380_Drosophila_takahashii_part2_of2,0.93028,0.6977777777777778,2.452499478,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005101009090_Drosophila_teissieri_part1_of1,0.98011,0.1327433628318584,0.269666934,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005101009092_Drosophila_teissieri_part1_of1,0.92263,0.6888888888888889,2.4526170250000003,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005102009205_Drosophila_virilis_part1_of1,0.98852,0.079646017699115,0.139844561,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005102009206_Drosophila_virilis_part1_of1,0.93139,0.6651785714285714,1.980709284,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005103011421_Drosophila_willistoni_part1_of1,0.92372,0.6741071428571428,2.176119889,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,P005103011422_Drosophila_willistoni_part1_of1,0.99535,0.0929203539823009,0.127975161,Cluster_2,Cluster_2,Cluster_2_Cluster_2
P005071004180_Drosophila_busckii_part1_of1,Q9VBV3_Drosophila_melanogasterREF_part1_of1,0.92365,0.6933333333333334,2.454369115,Cluster_2,Cluster_1,Cluster_1_Cluster_2
P005071007432_Drosophila_busckii_part1_of1,B4KE22_Drosophila_mojavensisREF_part1_of1,0.93636,0.768888888888889,2.83696953,Cluster_1,Cluster_4,Cluster_1_Cluster_4
P005071007432_Drosophila_busckii_part1_of1,P005064008787_Drosophila_albomicans_part1_of2,0.98496,0.2831858407079646,0.4297896999999999,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005071007432_Drosophila_busckii_part1_of1,P005064008787_Drosophila_albomicans_part2_of2,0.94956,0.48,0.934586003,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005071007432_Drosophila_busckii_part1_of1,P005064013138_Drosophila_albomicans_part1_of1,0.9315,0.6858407079646018,2.080579682,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005071007432_Drosophila_busckii_part1_of1,P005065001328_Drosophila_ananassae_part1_of2,0.9671,0.4823008849557522,1.02932211,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005071007432_Drosophila_busckii_part1_of1,P005065001328_Drosophila_ananassae_part2_of2,0.96315,0.6238938053097345,1.954650901,Cluster_1,Cluster_3,Cluster_1_Cluster_3
P005071007432_Drosophila_busckii_part1_of1,P005065003751_Drosophila_ananassae_part1_of1,0.93243,0.7079646017699115,2.042615778,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005071007432_Drosophila_busckii_part1_of1,P005066011807_Drosophila_arizonae_part1_of2,0.94766,0.7035398230088495,2.151254507,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005071007432_Drosophila_busckii_part1_of1,P005066011807_Drosophila_arizonae_part2_of2,0.90148,0.2761904761904762,0.4716310019999999,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005071007432_Drosophila_busckii_part1_of1,P005067004171_Drosophila_biarmipes_part1_of1,0.94273,0.7035398230088495,2.066731723,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005071007432_Drosophila_busckii_part1_of1,P005067004172_Drosophila_biarmipes_part1_of1,0.96217,0.4513274336283186,1.129047034,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005071007432_Drosophila_busckii_part1_of1,P005068011778_Drosophila_bipectinata_part1_of2,0.91761,0.7035398230088495,2.035272928,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005071007432_Drosophila_busckii_part1_of1,P005068011778_Drosophila_bipectinata_part2_of2,0.96435,0.4734513274336283,1.064051024,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005071007432_Drosophila_busckii_part1_of1,P005070006661_Drosophila_bunnanda_part1_of1,0.96102,0.4533333333333333,1.216726809,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005071007432_Drosophila_busckii_part1_of1,P005070006662_Drosophila_bunnanda_part1_of1,0.94947,0.6902654867256637,1.975511268,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005071007432_Drosophila_busckii_part1_of1,P005071004180_Drosophila_busckii_part1_of1,0.92389,0.6933333333333334,2.038388045,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005071007432_Drosophila_busckii_part1_of1,P005072008715_Drosophila_elegans_part1_of1,0.94612,0.7079646017699115,2.045984228,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005071007432_Drosophila_busckii_part1_of1,P005072008716_Drosophila_elegans_part1_of1,0.95808,0.4513274336283186,1.063005023,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005071007432_Drosophila_busckii_part1_of1,P005073012561_Drosophila_erecta_part1_of1,0.96618,0.4513274336283186,1.081093853,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005071007432_Drosophila_busckii_part1_of1,P005074010565_Drosophila_eugracilis_part1_of1,0.9725,0.4424778761061947,1.101374591,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005071007432_Drosophila_busckii_part1_of1,P005074010571_Drosophila_eugracilis_part1_of1,0.94934,0.7035398230088495,2.019955276,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005071007432_Drosophila_busckii_part1_of1,P005075007245_Drosophila_ficusphila_part1_of1,0.90562,0.7168141592920354,2.071930359,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005071007432_Drosophila_busckii_part1_of1,P005076010725_Drosophila_grimshawi_part1_of1,0.82912,0.4861111111111111,0.8875858169999999,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005071007432_Drosophila_busckii_part1_of1,P005076010744_Drosophila_grimshawi_part1_of1,0.92097,0.7035398230088495,2.1508271960000003,Cluster_1,Cluster_2,Cluster_1_Cluster_2
P005071007432_Drosophila_busckii_part1_of1,P005076010745_Drosophila_grimshawi_part1_of1,0.98006,0.3511111111111111,0.67948879,Cluster_1,Cluster_1,Cluster_1_Cluster_1
P005071007432_Drosophila_busckii_part1_of1,P005077009626_Drosophila_guanche_part1_of1,0.97535,0.4424778761061947,0.989216782,Cluster_1,Cluster_1,Cluster_1_Cluster_1
